Year,BEDROOMS,TOILETS,HOUSE_TYPE,LOCATION,Predicted_Price
2030,3,4,terraced bungalow,Lekki,1937813
2030,3,3,MASSIONETTE,Ilupeju,676877
2030,3,4,semi-detached bungalow,Akowonjo,294458
2030,3,3,HOUSE,Victoria Island,1038753
2030,3,4,HOUSE,Egbeda,1775545
2030,3,4,DETACHED BUNGALOW,Ogudu,1358846
2030,3,4,detached duplex,Ogba,2056702
2030,3,4,BUNGALOW,Victoria Island,450008
2030,3,4,semi-detached bungalow,Maryland,3257126
2030,4,5,detached bungalow,Ejigbo,1483721
2030,4,3,semi-detached bungalow,Ojo,4207360
2030,4,5,detached duplex,Akowonjo,7351482
2030,4,5,TERRACED DUPLEX,Ojo,2960092
2030,4,5,APARTMENT,other,5988598
2030,4,5,terraced duplex,Ogba,1708870
2030,4,5,terraced duplex,Egbeda,4161468
2030,4,5,MASSIONETTE,Victoria Island,5492026
2030,4,5,HOUSE,Ojo,-1203342
2030,4,5,terraced duplex,Sangotedo,-170064
2030,4,5,DETACHED BUNGALOW,other,2347656
2030,4,4,DETACHED BUNGALOW,Ipaja,3590289
2030,4,5,semi-detached duplex,Ketu,8904305
2030,4,5,BUNGALOW,Gbagada,9409487
2030,4,5,APARTMENT,other,3254419
2030,4,5,APARTMENT,Ikoyi,2994064
2030,4,5,detached bungalow,Ikorodu,2074167
2030,4,4,TERRACED DUPLEX,Ikeja,831008
2030,4,5,detached bungalow,Gbagada,2023921
2030,4,5,MASSIONETTE,Ogba,3436432
2030,4,4,TERRACED DUPLEX,Lekki,1717150
2030,4,5,terraced duplex,Surulere,3060158
2030,4,4,terraced duplex,Lagos Island,1552892
2030,4,5,APARTMENT,Egbeda,5253860
2030,4,5,semi-detached duplex,Ago Palace-Okota,2635713
2030,4,4,apartment,Yaba,1940759
2030,4,5,DETACHED DUPLEX,Shomolu,4212646
2030,4,5,MASSIONETTE,Ejigbo,1770132
2030,4,5,detached bungalow,Ojota,6704258
2030,4,5,semi-detached bungalow,Isolo,1476681
2030,4,4,BUNGALOW,Agege,2519529
2030,4,5,apartment,Agege,12005417
2030,4,5,DETACHED BUNGALOW,Ajah,3303581
2030,4,5,apartment,Ejigbo,11313659
2030,4,4,APARTMENT,Ojota,932109
2030,4,5,semi-detached bungalow,Gbagada,2319547
2030,4,5,semi-detached bungalow,Isolo,2813283
2030,4,5,DETACHED BUNGALOW,Ago Palace-Okota,1379439
2030,4,5,MASSIONETTE,Ikoyi,4356292
2030,4,5,DETACHED DUPLEX,Amuwo Odofin,4780398
2030,4,5,TERRACED DUPLEX,Ikotun-Igando,4276032
2030,4,5,detached duplex,Isheri North,2769218
2030,4,5,DETACHED DUPLEX,Ikorodu,3993952
2030,5,5,BUNGALOW,Ago Palace-Okota,5083696
2030,5,6,detached duplex,Gbagada,14765147
2030,5,5,detached bungalow,Surulere,1949473
2030,5,4,semi-detached duplex,Amuwo Odofin,10282138
2030,5,6,APARTMENT,Gbagada,13607947
2030,5,6,MASSIONETTE,Egbeda,13341053
2030,5,5,DETACHED BUNGALOW,Badagry,2677251
2030,5,5,MASSIONETTE,Maryland,6601878
